precio,area,habitaciones,antiguedad,fecha_publicacion,descripcion
197315480,137,2,48,3/22/2021,Apartamento céntrico
188200666,77,2,32,4/26/2024,Casa espaciosa
159864260,161,3,49,12/21/2023,Apartamento económico
107882729,98,1,7,4/27/2025,Casa con patio
308045733,156,2,46,4/18/2025,Casa con jardín
21007628,155,4,1,2/13/2022,Apartamento económico
240860167,97,1,37,7/17/2022,Casa remodelada
186152431,95,2,47,6/30/2024,Apartamento en buen estado
319769590,63,1,31,10/10/2021,
224280351,109,3,20,10/31/2021,Apartamento céntrico
118315692,98,1,24,5/10/2020,Casa remodelada
159517696,55,5,27,2/9/2024,Casa con patio
202419962,166,4,43,11/1/2023,
209126636,141,3,23,6/3/2023,Apartamento luminoso
161105900,152,1,20,6/4/2020,Casa con jardín
207077329,89,3,33,2/10/2020,Apartamento económico
292065775,95,4,47,6/14/2022,Apartamento luminoso
241281709,136,2,26,7/19/2022,Casa remodelada
215057463,75,3,39,9/4/2020,Casa en zona residencial
221074961,65,5,22,10/1/2021,Apartamento económico
199812745,193,3,20,8/14/2020,Casa con patio
255716309,52,5,11,11/25/2023,Casa en zona residencial
209467311,141,2,26,2/10/2021,
183765178,67,3,35,5/15/2021,Casa con jardín
177219798,65,2,19,3/19/2025,Casa con patio
166851588,106,5,21,5/21/2025,Casa con patio
223772959,98,2,8,10/10/2020,Casa espaciosa
194390680,116,4,18,7/31/2022,Casa espaciosa
213017843,81,4,39,4/9/2021,Casa con patio
190779533,96,3,10,3/31/2022,Apartamento económico
238165361,71,4,3,9/14/2022,Casa con jardín
169857881,143,3,15,4/21/2021,Casa remodelada
157404186,36,1,45,5/4/2024,Apartamento en buen estado
146519749,110,2,2,9/3/2024,Casa remodelada
203233195,183,1,34,9/3/2022,Apartamento céntrico
203728523,152,4,46,12/18/2023,Apartamento luminoso
283310101,94,4,25,3/30/2022,Apartamento luminoso
291873869,166,4,28,6/27/2020,Casa espaciosa
141705621,126,1,11,5/18/2025,Apartamento económico
218266787,115,4,40,11/27/2024,Casa con jardín
153405511,117,1,16,7/26/2021,Apartamento luminoso
178340210,30,1,34,12/26/2023,Casa espaciosa
197090385,46,1,45,5/30/2022,Casa con jardín
259173295,84,4,41,10/18/2023,Apartamento luminoso
182061432,138,1,40,4/1/2024,Casa con jardín
256308426,113,4,38,1/31/2021,
188013131,83,5,44,1/1/2020,Casa con jardín
80266429,40,2,44,7/15/2023,Casa remodelada
162053918,115,1,22,9/8/2024,Casa espaciosa
148099610,124,3,35,8/16/2021,Apartamento en buen estado
178901808,66,2,32,11/27/2020,Apartamento con vista
262271180,74,3,28,4/14/2020,Apartamento con vista
264854432,34,1,17,7/16/2021,Apartamento luminoso
219964299,62,2,28,8/28/2024,Apartamento económico
121121398,114,1,11,2/22/2021,
350000000,88,1,20,7/27/2021,Casa remodelada
181162749,45,2,37,12/24/2024,Apartamento en buen estado
151944703,186,4,8,5/26/2025,Apartamento luminoso
175516543,171,2,2,7/13/2020,Casa con patio
79264700,79,4,35,11/4/2023,Casa remodelada
278540901,243,1,6,5/4/2023,Apartamento en buen estado
172897969,143,1,28,5/10/2023,Apartamento céntrico
104458673,161,1,10,3/27/2022,Casa remodelada
251761563,179,3,11,2/18/2024,Casa remodelada
193714480,127,1,25,3/24/2023,Apartamento luminoso
182780453,141,3,5,1/24/2025,Apartamento en buen estado
226735327,96,1,41,5/3/2020,Apartamento en buen estado
29421892,56,5,8,1/3/2021,
185334636,128,3,47,7/25/2023,Casa espaciosa
190848684,126,4,44,2/20/2025,Apartamento en buen estado
178404558,162,3,31,2/6/2023,Apartamento económico
193872100,52,4,20,10/26/2020,
69352158,141,4,23,7/18/2024,Apartamento económico
212081401,93,1,16,1/27/2023,Apartamento céntrico
260194342,194,4,36,9/25/2022,Apartamento en buen estado
197235556,105,4,18,3/4/2020,
207703533,129,4,11,9/2/2020,Apartamento en buen estado
212230031,179,1,19,5/14/2025,Apartamento con vista
215346536,108,3,31,8/4/2021,Casa en zona residencial
102266158,72,1,23,2/10/2021,
59663743,245,4,50,5/26/2025,
265956090,94,2,3,6/21/2022,Apartamento económico
179756301,102,2,16,12/2/2020,Casa remodelada
128587064,75,3,2,3/18/2021,Apartamento en buen estado
336542429,117,5,15,2/11/2023,Apartamento luminoso
261628827,150,4,41,11/15/2020,Apartamento en buen estado
262947043,86,3,29,2/26/2020,Apartamento económico
158797961,146,1,0,8/8/2023,Casa con patio
153953980,117,1,7,4/8/2025,Casa con patio
228196495,128,4,39,4/7/2024,Casa con patio
132515093,151,4,30,10/13/2023,
142887117,96,2,44,8/6/2023,Apartamento económico
74660912,118,1,33,11/4/2024,Apartamento luminoso
92383875,76,1,38,1/14/2024,Casa con jardín
143102673,89,1,28,6/8/2023,Apartamento en buen estado
202646747,161,1,12,4/5/2024,Apartamento económico
276284388,52,1,16,7/1/2020,Casa en zona residencial
183508088,156,2,19,6/8/2020,Apartamento céntrico
241989219,67,2,23,4/26/2022,Apartamento luminoso
129581099,116,2,7,1/29/2024,Casa en zona residencial
226444015,144,1,48,6/2/2024,Casa con patio
191995533,109,1,31,10/15/2024,Apartamento luminoso
203736585,148,3,5,11/20/2020,Casa con patio
181484218,115,4,33,3/3/2021,Casa espaciosa
208250093,117,3,48,7/16/2020,Casa con jardín
187921602,195,3,26,10/18/2024,Casa con jardín
139790494,127,1,42,11/2/2022,Apartamento en buen estado
197475621,117,3,20,2/18/2025,Apartamento económico
191765361,67,3,40,10/10/2023,Apartamento céntrico
270710840,136,1,6,11/2/2022,Apartamento céntrico
57864523,167,4,8,11/24/2020,Apartamento luminoso
256362464,106,1,44,2/21/2025,Apartamento céntrico
233672399,102,1,2,11/17/2022,Apartamento luminoso
